entity:test_id	samplename	read1	read2
37	NC-122273	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-122273_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC-122723_S1_L001_R2_001.fastq.gz
38	NC2-042524	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC2-042524_S10_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC2-042524_S10_L001_R2_001.fastq.gz
39	NC2-060324	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC2-060324_S10_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC2-060324_S10_L001_R2_001.fastq.gz
40	NC2-061024	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC2-061024_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC2-061024_S1_L001_R2_001.fastq.gz
41	NC2-061824	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC2-061824_S17_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC2-061824_S17_L001_R2_001.fastq.gz
42	NC3-060324	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC3-060324_S20_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NC3-060324_S20_L001_R2_001.fastq.gz
43	Neg-Ctl-03-20-24	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/Neg-Ctl-03-20-24_S12_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/Neg-Ctl-03-20-24_S12_L001_R2_001.fastq.gz
44	Neg-Ctl-030624	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/Neg-Ctl-030624_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/Neg-Ctl-030624_S1_L001_R2_001.fastq.gz
45	Neg-Ctl-030724	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/Neg-Ctl-030724_S10_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/Neg-Ctl-030724_S10_L001_R2_001.fastq.gz
46	Neg-Ctl-3-13-24	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/Neg-Ctl-3-13-24_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/Neg-Ctl-3-13-24_S1_L001_R2_001.fastq.gz
47	NegCtl-032824	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NegCtl-032824_S1_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NegCtl-032824_S1_L001_R2_001.fastq.gz
48	NegCtl-040524	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NegCtl-040524_S12_L001_R1_001.fastq.gz	gs://fc-531ef259-f33c-4540-8f83-7d502ed7d975/negative_controls/NegCtl-040524_S12_L001_R2_001.fastq.gz
